,model_step,node_id,lmp,available_capacity,queue_size_normalized_by_capacity,num_projects,congestion_indicator,mw_threshold_1,mw_threshold_2,installed_capacity,new_eris_count,new_nris_count,new_dropped_out,dropped_out_eris_count,dropped_out_nris_count,dropped_out_eris_mw,dropped_out_nris_mw,dropped_out_mw,total_pending_count,pending_eris_count,pending_nris_count,pending_mw,pending_eris_mw,pending_nris_mw,total_online_count,online_eris_count,online_nris_count,online_mw,online_eris_mw,online_nris_mw,avg_cost_eris_dropped_out,avg_cost_nris_dropped_out,avg_cost_eris_pending,avg_cost_nris_pending,avg_cost_eris_online,avg_cost_nris_online,avg_construction_time,avg_study_time
16,1,17,[32.1],2797.6000000000004,0.7537132141411128,0,4.0701515119227745,2797.6000000000004,8392.800000000001,9385.4,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
17,1,18,[38.18],1058.0,0.8056215057057516,0,14.21970335196957,1058.0,3174.0,3917.1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
18,1,19,[26.82],7479.200000000001,0.1549415706690297,5,5.5383252104563585,7479.200000000001,22437.600000000002,14444.8,1,4,3,1,2,45.0,325.0,370.0,2,0,2,90.0,0.0,90.0,0,0,0,0.0,0.0,0.0,160.6387620450385,200.79845255629812,0.0,200.79845255629812,0,0,2.510798452556298,1.8
19,1,20,[27.83],4286.1,0.2838817991287459,0,7.911513941162915,4286.1,12858.300000000001,9113.3,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
20,2,1,[27.54],157.5,3.4060227631994944,0,12.883338602592476,157.5,472.5,1265.2,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
21,2,2,[31.18],15328.900000000001,1.790614353404069,67,7.755525067448172,15328.900000000001,45986.700000000004,36954.3,14,53,39,8,31,1680.0,4305.96,5985.96,56,13,43,2816.6,510.9,2305.7,0,0,0,0.0,0.0,0.0,152.5702450244191,189.3790091216593,152.5702450244191,190.71280628052392,0,0,2.7325394002970733,1.791044776119403
22,2,3,[32.33],4860.6,1.3598160305626645,0,11.656435955639626,2430.3,3645.4500000000003,10905.3,0,0,0,0,0,0.0,0.0,0.0,14,0,14,413.35,0.0,413.35,5,5,0,120.9,120.9,0.0,0.0,0.0,0.0,0.0,0,0,,
23,2,4,[31.47],5453.900000000001,0.8073584702975615,73,16.113438607798905,5453.900000000001,16361.7,9309.0,13,60,57,11,46,1174.5,6790.94,7965.44,29,3,26,991.3,46.0,945.3,0,0,0,0.0,0.0,0.0,383.3117061311306,479.13963266391295,168.21686083057668,210.2710760382208,0,0,3.135014299137265,1.821917808219178
24,2,5,[40.11],1742.0,0.3070257238383333,0,15.284190415538928,1742.0,5226.0,4396.7,0,0,0,0,0,0.0,0.0,0.0,4,0,4,223.0,0.0,223.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
25,2,6,[25.55],13590.5,0.9935132236728103,0,8.625861299382382,6795.25,10192.875,30811.3,0,0,0,0,0,0.0,0.0,0.0,26,0,26,1970.66,0.0,1970.66,4,4,0,226.0,226.0,0.0,0.0,0.0,0.0,0.0,0,0,,
